genre,lyrics,artist
Pop,you flashed your smile and your beautiful eyes looking deep into mine telling me more than a dime visionary solitary come find me im right tell me will you be are you feeling it come on come on from the pain of loosing you again chorus you liar liar its,n-gram 3
Pop,two faced youll get whats coming to me ro mantic like chocolate oh come to bethlehem that night they found no place to go wasted on you if i could give him up and ill blow away but ill tell you my sins and all the planets the milky way,n-gram 3
Pop,control there aint a minute that sounded so soft that wont impress a hot chick like lara croft dont play me just kiss me one last second chance for a while no destination she drove for miles and miles and wound up at your door da da da da da,n-gram 3
Pop,hollow men who never got it do you like it my way ya like that told you what to say will ou sleep tonight or will you try and feel theyll steal it all from skynyrd to jones and some of them are work jah know jah know you have,n-gram 3
Pop,dudes get naked getting hecting living life so reckless my money tattos play you instrument nexus and give me whatever you want jomdeo gakka i wabwa whatever whatever whatever we want lets call it whatever whatever whatever whatever whatever whatever whatever whatever whatever whatever whatever whatever whatever whatever whatever whatever,n-gram 3
Pop,remember you ill remember you as the sun begins to shine winter fruits and summer wine sweet perfume and columbine if i thought youd ever get with me oh come running come running through rivers with me oh just one look at you and the ground started ringing i know,n-gram 3
Pop,make your union jack and wrap it round your head drowning out the days that we spent forever it haunts me til im gone i wont cry no more i would still have you you and i dont know why oh can you keep up baby boy make me lose,n-gram 3
Pop,your memories till you reappear and as i look into your eyes your legs im what you need to stop following miserys lead shine away shine away shine away shine away shine away shine away shine away isnt it true that my love is the only sound i think were,n-gram 3
Pop,now the wind has stopped a light weve never seen so clearly and oh out of my life now that you found left me broken inside ill have to say no i wish it could be crazy when get this creature out the cage still out there movin in them,n-gram 3
Pop,like your couch we never had the time if youve got it made make a hit you from the start you didnt care well i hope now you know is right is everybody is wrong sad song that well have to learn we rarely choose so if its ok wit,n-gram 3
Pop,dream is when you become a shadow of a doubt i want my life to change this world to love to be free free why you causing me so much more because youre looking for that girl one in a million but you never stay when you leave me if,n-gram 3
Pop,its treason when the day was dark i sat in a great brave world lonely downhearted feeling the pain as innocence dies looking at life through my own eyes written up in the morning i cant control red wine and we both knew what was goin on waitin there for,n-gram 3
Pop,me out hes playng good so far the suns gone be setting in a while you want a hot body you want my b body if you got love i got to go hes got to do it my way ive been looking i ive been looking ive been looking,n-gram 3
Pop,good but to erase the line ethic gender color no suppression no boundaries no limits just music forget what you feel like letting someone down i watched this world stream out my love letter let me help you get your own space and do somethin i see you see you,n-gram 3
Pop,pure tenderness possess possessing me i only have eyes for you only only yeah i worry for you only ill never let you see me in that drop caught her walkin out the door packed yo bags now you out the hood babe hood baby take you out to the,n-gram 3
Pop,where the sky cant wait for you by the time we let in light and we will see the monster that you are mine at last i realize that its not mine to change know that its gonna do any good if everythings all you have to do it make,n-gram 3
Pop,cry when he falls down and hes so in love with yourself your heads so read your paper and look into my eyes and the moon and back without ever leaving were right here written in stars like graffiti cant ignore it boy i feel for you from now until,n-gram 3
Pop,the summer sound its alright oh oh we kiss like paradise oh oh this ring is a shade of grey nothing left for you you dont know him you should call me later and i still cant help but wonder if youll be my news year day my valentine i,n-gram 3
Pop,and sit in my car and just above the eyelash and today im gonna write my information on this napkin and dont hesitate to come and save me i could never be mine or she will have you yes i would ah ooh anything youre after i can reel him,n-gram 3
Pop,had him who would know where to find me just save them for another time tomorrow it never comes another wild friday night and i slept with last night in the still of the moment it will never be the same ive heard it said its a stupid life for,n-gram 3
Pop,shed so vividly and im tired of your childish games always playing under different names pretender surrender dont make me love baby because i miss you am i being paranoid am i just imagining do i want to make it past the first little part we could fly around the,n-gram 3
Pop,sittin 28s and nah you cant get over losing you and so im offering this simple phrase ari to kids from one to ten im at 100 never get enough of your love let it be hers find it and no one no one no no nobody could no ive,n-gram 3
Pop,wanting to change the world this magic winter land if i could live this way its true while the old folk theres and old man with nothing not a single word can not express the love and then you jump my feet got cold it happened many years ago when,n-gram 3
Pop,left inside and we dont wanna go there cause im feeling intoxicated i wanna taste your love tonight oh take me i m lonely take me in his arms and smiles and says ill walk please come and be my steady chick and give me ya real lovin when is,n-gram 3
Pop,and laughter every day but old people they just cant see so you better go back to love lets go back to my pad now babe and show you how afraid ill show you what ill do should i just want to get on the floor gonna light the sky,n-gram 3
Pop,out loud hop in my bright red car ima take you boy ill take care of me take me dont let me dont let me go never let you go looking back now i see wonder how long we gonna take here here to tell you why theres no mirrors,n-gram 3
Pop,no prayer is enough ive had it weve had is i always dreamed id find a way your hands control me master stroke stroke the master my joysticks in your hands there amongst the flowers blooming in the land of my sunset this is my show your one and only,n-gram 3
Pop,write my congressman and tell him by the hand ill show you what i got cause your heart to me something warm is turning inside of me like shirley temples curls youre everything i see is your light thats flashing on on and on and up and over hold me,n-gram 3
Pop,away got my corona my marijuana my beach bunny in a maula bona open the lamp bowl light girls shit there half in smashed off woo rick flare malibu blowin on its homegrown and im so sick that you make me lose control soon as i get home how can,n-gram 3
Pop,well im alone now but i remember now what was that like because you youre so beautiful so damn beautiful said youre so beautiful so special to me but dont you know dont you know that your nigga came with you but i love you how i feel i know,n-gram 3
Pop,hook to cling with no regard for saving face ill leave no trace ill assume you are a step forward for me our lives are tangled like the branches of the trees those who enter here never leave and if i need you dont need him cause he sport gucci,n-gram 3
Pop,good show but the poor girl wear to all tomorrows parties a hand me down ford with a three speed on the floor smack that give me some more shes my little rock star man she knows it my babys guns n roses my babys guns n roses my babys,n-gram 3
Pop,water i know that you own it i twirl on my haters albino alligators el camino with the seat low sippin cuervo with no chaser sometimes i go a man who finally figured out that these are the curls where are the mysteries that all started with the big bang,n-gram 3
Pop,his words i thought he would always win and love will steer the stars this is the way that bobby brown swings stop calling out my name if no one is calm love is a battlefield all alone with no affection now look at you now you gotta break out,n-gram 3
Pop,easily one step at a time praying that they dont wanna be i wanna be feel so good cutie pie cutie pie you really pick me up maybe you got pinned down by all the people oh oh oh oh oh oh he came to me in bed and i,n-gram 3
Pop,you on back ima tell a lie and never be true what do you do in twenty more seconds ill be inside of you once again repeat chorus ii 4x repeat chorus i 4x you make me feel so right and when you kiss me like it means something inside,n-gram 3
Pop,declaring im declaring me i am feelin you are you interested in me he watches over me he was a girl who gossips is a bore its really such a pity still and all youll get from this moment till eternity take me for a far away city trying hard,n-gram 3
Pop,complain shes just blowin off steam come to girls night and youll be wantin more its top draw cause thats how we do it old school do an old school dance an old school groove go back to the days our true love ways throughout the days our true love,n-gram 3
Pop,opening speech is a tiny light that no one understands and natures working against us and miles between us heavens cried i know i will succumb when you shave to stand at the sink im reeling waiting for the end of time let me put my war paint on your,n-gram 3
Pop,heart desires anything at all im about to blow im in a trance much more real than it seems come share with me one sided one sided one sided love whos gonna treat me right day and night twenty four seven three sixty five so anyway uhm this guy oh,n-gram 3
Pop,an astigmatism in her left eye she thought that he married beneath him thats what i want this please understand i dont mean to know just follow your scent you cant just up and pass me by can you take control of me why dont be complacent we need to,n-gram 3
Pop,people start listening if i die ill see my love will be true just another dream i will share a world where love is then i want to hold you as long as you love me youre gonna love me right if youre looking for a breath the air i,n-gram 3
Pop,ive collected stones and shells every word in every line goes from the crib to the ride and now im walking down a path in the woods and valleys just get up and fight for the right nation so easy got your information gonna take you where the wild things,n-gram 3
Pop,place when we were free i swear that ship is coming in today no time to be staying home theres too much competition for me hey everyone come back to me to let it all out tonight yeah baby tonight yeah take my hand baby i promise you youll see,n-gram 3
Pop,pretending that your made out of gold away lend me some light cause im feeling like a child the tears oh mamma dont die my mamma said that she loved me like she loved me like no ones around i wanna see you again when will we get along just,n-gram 3
Pop,the door they tell you that weve changed that your friends my friend and yelled geronimo and rode the wings of heaven on the village green together with guns and bombs and tanks and guns came to take away the pain could we have given up drowning in my tears,n-gram 3
